donor,receiver,P_wastes,P_resources,G_waste,G_resource
Enipower power station,ND - Agroindustry,Electricity,Fertilizer,energy consumption,biofertilizer
Enipower power station,Enipower power station,Electricity,Fuel,energy consumption,biofuels
Enipower power station,Enipower power station,Electricity,Fuel,energy,energy resources
ENI refinery,Enipower power station,Fuel oil,Water,oils,clean water
ENI refinery,ENI refinery,Fuel oil,Water,oils,clean water
ENI refinery,Enipower power station,Fuel oil,Fuel,oils,biofuels
ENI refinery,Enipower power station,Fuel oil,Fuel,fossil fuel diesel,biofuels
ENI refinery,Enipower power station,Fuel oil,Fuel,heating oil,ethanol
ENI refinery,Enipower power station,Fuel oil,Fuel,fossil fuel,biofuels
ENI refinery,Enipower power station,Fuel oil,Fuel,fossil fuel,gas
ENI refinery,Enipower power station,Fuel oil,Fuel,fossil fuel,renewable fuel
ILVA,CEMENTIR,BF slag,Raw material for Cement production,slag,feedstock for cement clinker production
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,slag,construction materials
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,copper slag,construction materials
ILVA,ND - Agroindustry,BF slag,Fertiliser;Fertilizer,blast furnace slag,fertilizer
ILVA,ND - Construction materials production,BF slag,Raw material for Construction materials production,blast furnace slag,construction materials
ILVA,ND - Production of refractories,BF slag,Raw material for Production of refractories,slag waste,refractory materials
Edison power station,ND - Agroindustry,Electricity,Fertilizer,energy consumption,biofertilizer
Edison power station,Enipower power station,Electricity,Fuel,energy consumption,biofuels
Edison power station,Enipower power station,Electricity,Fuel,energy,energy resources
CEMENTIR,ND - Agroindustry,Coal fly ash,Soil quality improvement and fertiliser,coal mine waste,soil improver
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertilizer,power plant ash,phosphorus
CEMENTIR,Taranto,Coal fly ash,Heat,power plant ash,heat
CEMENTIR,ND - Agroindustry,Coal fly ash,Fertiliser;Fertilizer,power plant ash,fertilizer
CEMENTIR,CEMENTIR,Coal fly ash,Raw material for Cement production,coal,feedstock for cement clinker production
CEMENTIR,Enipower power station,Coal fly ash,Fuel,coal gasification fly ash,biofuels
CEMENTIR,ND - Construction materials production,Coal fly ash,Raw material for Construction materials production,biomass fly ash,construction materials
