waste,resource
Coal fly ash,Fuel
Coal fly ash,Paving
Coal fly ash,Heat
Fuel oil,Water
Electricity,Fuel
Electricity,Fertilizer
BF slag,Fertilizer
BF slag,Fertiliser
BF slag,Raw material for Construction materials production
BF slag,Raw material for Production of refractories
Construction and demolition waste,Raw material for Cement production
Construction and demolition waste,Water
Construction and demolition waste,Fuel
Construction and demolition waste,Soil quality improvement and fertiliser
Construction and demolition waste,Fertilizer
Construction and demolition waste,Fertiliser
Construction and demolition waste,Raw material for Construction materials production
Construction and demolition waste,Raw material for Production of bricks
Construction and demolition waste,Raw material for Production of concrete
Construction and demolition waste,Paving
Construction and demolition waste,Heat
Oil mill waste water,Fuel
Oil mill waste water,Fertiliser
Oil mill waste water,Soil quality improvement and fertiliser
Fly ash,Fuel
Fly ash,Paving
Fly ash,Heat
Marc and dregs,Fertilizer
Marc and dregs,Soil quality improvement and fertiliser
